Frequency,year,Area,State,crop,Unit,Volume
"Annual, Ending mar Of Each Year", 3-2008,1.25,Maharashtra,Wheat,Ton th,2078.7
"Annual, Ending mar Of Each Year", 3-2009,1.02,Maharashtra,Wheat,Ton th,1516.0
"Annual, Ending mar Of Each Year", 3-2010,1.081,Maharashtra,Wheat,Ton th,1740.0
"Annual, Ending mar Of Each Year", 3-2011,1.307,Maharashtra,Wheat,Ton th,2301.0
"Annual, Ending mar Of Each Year", 3-2012,0.84,Maharashtra,Wheat,Ton th,1310.0
"Annual, Ending mar Of Each Year", 3-2013,0.59,Maharashtra,Wheat,Ton th,880.0
"Annual, Ending mar Of Each Year", 3-2005,3.48,Punjab,Wheat,Ton th,14698.0
"Annual, Ending mar Of Each Year", 3-2006,3.47,Punjab,Wheat,Ton th,14493.0
"Annual, Ending mar Of Each Year", 3-2007,3.47,Punjab,Wheat,Ton th,14596.0
"Annual, Ending mar Of Each Year", 3-2008,3.49,Punjab,Wheat,Ton th,15720.0
"Annual, Ending mar Of Each Year", 3-2009,3.53,Punjab,Wheat,Ton th,15733.0
"Annual, Ending mar Of Each Year", 3-2010,3.522,Punjab,Wheat,Ton th,15169.0
"Annual, Ending mar Of Each Year", 3-2011,3.51,Punjab,Wheat,Ton th,16472.0
"Annual, Ending mar Of Each Year", 3-2012,3.53,Punjab,Wheat,Ton th,17280.0
"Annual, Ending mar Of Each Year", 3-2013,3.52,Punjab,Wheat,Ton th,16110.0
"Annual, Ending mar Of Each Year", 3-2005,2.01,Rajasthan,Wheat,Ton th,5706.6
"Annual, Ending mar Of Each Year", 3-2006,2.12,Rajasthan,Wheat,Ton th,5865.3
"Annual, Ending mar Of Each Year", 3-2007,2.56,Rajasthan,Wheat,Ton th,7055.8
"Annual, Ending mar Of Each Year", 3-2008,2.59,Rajasthan,Wheat,Ton th,7124.9
"Annual, Ending mar Of Each Year", 3-2009,2.29,Rajasthan,Wheat,Ton th,7287.0
"Annual, Ending mar Of Each Year", 3-2010,2.3942,Rajasthan,Wheat,Ton th,7500.9
"Annual, Ending mar Of Each Year", 3-2011,2.479,Rajasthan,Wheat,Ton th,7215.0
"Annual, Ending mar Of Each Year", 3-2012,2.94,Rajasthan,Wheat,Ton th,9320.0
"Annual, Ending mar Of Each Year", 3-2013,2.82,Rajasthan,Wheat,Ton th,8950.0
"Annual, Ending mar Of Each Year", 3-2005,9.0,UttarPradesh,Wheat,Ton th,22513.9
"Annual, Ending mar Of Each Year", 3-2006,9.16,UttarPradesh,Wheat,Ton th,24073.8
"Annual, Ending mar Of Each Year", 3-2007,9.2,UttarPradesh,Wheat,Ton th,25031.0
